,Year,WindSpeed9am,Location
0,2008,14.874626865671642,Sydney
1,2009,14.134831460674157,Sydney
2,2010,14.854700854700855,Sydney
3,2011,15.728358208955225,Sydney
4,2012,15.811377245508982,Sydney
5,2013,15.136904761904763,Sydney
6,2014,14.884931506849314,Sydney
7,2015,14.934065934065934,Sydney
8,2016,15.248633879781421,Sydney
0,2008,22.502732240437158,Melbourne
1,2009,20.434065934065934,Melbourne
2,2010,19.326027397260273,Melbourne
3,2011,19.98507462686567,Melbourne
4,2012,21.161194029850748,Melbourne
5,2013,21.973293768545993,Melbourne
6,2014,20.610958904109587,Melbourne
7,2015,19.394520547945206,Melbourne
8,2016,13.693989071038251,Melbourne
0,2008,9.304347826086957,Brisbane
1,2009,9.161643835616438,Brisbane
2,2010,7.126373626373627,Brisbane
3,2011,6.3373134328358205,Brisbane
4,2012,6.014925373134329,Brisbane
5,2013,5.964391691394659,Brisbane
6,2014,6.67945205479452,Brisbane
7,2015,6.531506849315068,Brisbane
8,2016,6.669398907103825,Brisbane
0,2008,11.472826086956522,Perth
1,2009,11.073972602739726,Perth
2,2010,10.706849315068494,Perth
3,2011,11.238805970149254,Perth
4,2012,10.635820895522388,Perth
5,2013,10.57566765578635,Perth
6,2014,10.463013698630137,Perth
7,2015,10.284931506849315,Perth
8,2016,10.633879781420765,Perth
0,2008,12.58011049723757,Adelaide
1,2009,10.526027397260274,Adelaide
2,2010,9.868493150684932,Adelaide
3,2011,10.143283582089552,Adelaide
4,2012,10.259701492537314,Adelaide
5,2013,11.667655786350148,Adelaide
6,2014,10.597260273972603,Adelaide
7,2015,8.650137741046832,Adelaide
8,2016,8.614754098360656,Adelaide
0,2007,9.60655737704918,Canberra
1,2008,10.025069637883009,Canberra
2,2009,9.492890995260664,Canberra
3,2010,9.429508196721311,Canberra
4,2011,10.517964071856287,Canberra
5,2012,10.246246246246246,Canberra
6,2013,11.751497005988025,Canberra
7,2014,10.082191780821917,Canberra
8,2015,10.747252747252746,Canberra
10,2017,8.8125,Canberra
0,2008,18.277173913043477,Hobart
1,2009,16.112328767123287,Hobart
2,2010,15.98082191780822,Hobart
3,2011,16.232835820895524,Hobart
4,2012,15.325373134328359,Hobart
5,2013,17.620178041543028,Hobart
6,2014,15.646575342465754,Hobart
7,2015,16.12054794520548,Hobart
8,2016,17.079234972677597,Hobart
0,2008,13.809782608695652,Darwin
1,2009,14.375342465753425,Darwin
2,2010,16.136986301369863,Darwin
3,2011,15.877245508982035,Darwin
4,2012,15.576119402985075,Darwin
5,2013,15.712166172106825,Darwin
6,2014,15.342465753424657,Darwin
7,2015,15.361643835616439,Darwin
8,2016,13.479452054794521,Darwin
